Subdivision,Parcel_Number,Street_Address,Sale_Date,Sale_Price,Instr,Terms_of_Sale,Adj_Sale,Asd_When_Sold,Asd_Adj_Sale,Cur_Appraisal,ECF_Area,Other_Parcels_in_Sale,Land_Table
ANN ARBOR SCHOOLS M & B,L -12-02-480-006,2673 GROSS RD,3/27/2025,250000,WD,03-ARM'S LENGTH,250000,107732,43.09,218103,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-07-200-008,2485 WATERS RD,11/8/2024,109500,WD,03-ARM'S LENGTH,109500,10484,9.57,22906,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-07-400-013,3890 LOHR RD,5/16/2024,110000,LC,03-ARM'S LENGTH,110000,25800,23.45,59800,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-13-300-018,4545 CARPENTER RD,9/29/2023,850000,WD,19-MULTI PARCEL ARM'S LENGTH,850000,128500,15.12,273275,AAS,L,-12-13-300-019 ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-13-300-018,4545 CARPENTER RD,12/13/2024,975000,LC,19-MULTI PARCEL ARM'S LENGTH,975000,140309,14.39,273275,AAS,L,-12-13-300-019 ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-13-300-019,4533 CARPENTER RD,9/29/2023,850000,WD,19-MULTI PARCEL ARM'S LENGTH,850000,238800,28.09,420021,AAS,L,-12-13-300-018 ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-13-300-019,4533 CARPENTER RD,12/13/2024,975000,LC,19-MULTI PARCEL ARM'S LENGTH,975000,263861,27.06,420021,AAS,L,-12-13-300-018 ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-13-300-035,4599 CARPENTER RD,12/13/2024,150000,WD,03-ARM'S LENGTH,150000,41475,27.65,82950,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-15-195-007,4326 PLATT RD,7/24/2024,280000,WD,33-TO BE DETERMINED,280000,80266,28.67,186540,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-15-195-009,4370 PLATT RD,6/26/2024,240000,WD,03-ARM'S LENGTH,240000,95111,39.63,179416,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-23-200-007,3150 E MORGAN RD,2/24/2025,1175000,WD,03-ARM'S LENGTH,1175000,555027,47.24,1166904,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-23-300-026,TEXTILE RD,11/15/2024,60000,WD,03-ARM'S LENGTH,60000,22300,37.17,66100,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-23-300-026,TEXTILE RD,11/20/2024,85000,WD,03-ARM'S LENGTH,85000,22300,26.24,66100,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-25-200-021,6211 CARPENTER RD,2/20/2024,272050,WD,03-ARM'S LENGTH,272050,156000,57.34,282440,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-25-200-033,6473 CARPENTER RD,11/15/2024,600000,WD,03-ARM'S LENGTH,600000,339693,56.62,636872,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-25-200-033,6473 CARPENTER RD,4/11/2024,499900,SD,10-FORECLOSURE,499900,339693,67.95,636872,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-25-300-003,6505 CARPENTER RD,10/21/2024,441500,WD,03-ARM'S LENGTH,441500,174141,39.44,336207,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-26-100-003,3800 TEXTILE RD,5/10/2023,285000,WD,03-ARM'S LENGTH,285000,127600,44.77,297578,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-26-100-006,3760 TEXTILE RD,7/26/2023,310000,WD,33-TO BE DETERMINED,310000,181800,58.65,400506,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-26-100-017,TEXTILE RD,9/23/2024,2048750,CD,03-ARM'S LENGTH,2048750,662805,32.35,1325610,AAS,,ANN ARBOR SCHOOLS M & B
ANN ARBOR SCHOOLS M & B,L -12-26-100-019,3872 TEXTILE RD,4/14/2023,400000,WD,19-MULTI PARCEL ARM'S LENGTH,400000,29400,7.35,58590,AAS,L,"-12-26-100-020, L -12-26-100-021 ANN ARBOR SCHOOLS M & B"
ANN ARBOR SCHOOLS M & B,L -12-26-100-020,6050 CARPENTER RD,4/14/2023,400000,WD,19-MULTI PARCEL ARM'S LENGTH,400000,188900,47.23,462818,AAS,L,"-12-26-100-019, L -12-26-100-021 ANN ARBOR SCHOOLS M & B"
ANN ARBOR SCHOOLS M & B,L -12-26-100-021,3850 TEXTILE RD,4/14/2023,400000,WD,19-MULTI PARCEL ARM'S LENGTH,400000,39800,9.95,58590,AAS,L,"-12-26-100-019, L -12-26-100-020 ANN ARBOR SCHOOLS M & B"
ARBOR RIDGE,L -12-13-401-009,4562 CHRISTINA DR,8/2/2024,355000,WD,03-ARM'S LENGTH,355000,161432,45.47,389440,AR-1,,AR1-ARBOR RIDGE
ARBOR RIDGE,L -12-13-401-009,4562 CHRISTINA DR,11/25/2024,427000,WD,03-ARM'S LENGTH,427000,161432,37.81,389440,AR-1,,AR1-ARBOR RIDGE
ARBOR RIDGE,L -12-13-401-021,4936 MATTHEW CT,10/31/2024,390000,WD,03-ARM'S LENGTH,390000,161253,41.35,395088,AR-1,,AR1-ARBOR RIDGE
